district,grid,ucr_ncic_code,latitude,longitude
3,1115,2404,38.55042047,-121.3914158
5,1512,2204,38.47350069,-121.4901858
2,212,2404,38.65784584,-121.4621009
6,1443,2501,38.50677377,-121.4269508
2,508,2299,38.6374478,-121.3846125
6,1084,2604,38.52697863,-121.4513383
4,957,2299,38.537173,-121.4875774
3,853,2308,38.56433456,-121.4618826
2,508,2203,38.6374478,-121.3846125
1,444,2310,38.60960217,-121.4918375
6,1005,7000,38.55426406,-121.4546045
6,1088,2604,38.52816497,-121.4314528
4,1261,7000,38.51092155,-121.5488201
3,888,2604,38.55611545,-121.4142729
6,1447,2605,38.50398051,-121.3923987
6,1054,2303,38.54152896,-121.4495097
6,1403,7000,38.51657327,-121.4234749
3,742,2308,38.58184562,-121.5011657
6,1034,2604,38.54270763,-121.4572067
4,1225,2605,38.52459987,-121.5203609
5,1661,2299,38.44659211,-121.4423777
2,628,2605,38.59664183,-121.423349
4,1251,2399,38.51512387,-121.5291027
2,213,2299,38.65660112,-121.4560449
5,1654,7000,38.44281523,-121.4095243
6,1047,2999,38.5438039,-121.4332827
5,1616,2605,38.47121906,-121.4547389
4,923,2309,38.5564521,-121.5123309
5,1361,7000,38.49535335,-121.4965602
2,235,2399,38.64717373,-121.4375169
4,1294,7000,38.47889498,-121.5354477
2,503,2204,38.63734742,-121.444642
3,747,2605,38.57289613,-121.4767958
6,1427,2799,38.51436734,-121.3854286
4,1294,7000,38.47948616,-121.5215057
1,123,2308,38.65994218,-121.5259008
1,440,5309,38.60893745,-121.5187927
3,766,2399,38.57084621,-121.484429
3,745,7000,38.57815667,-121.4876958
1,303,2604,38.64378844,-121.5341593
1,404,2604,38.62798948,-121.4857344
1,475,2605,38.61153542,-121.5370613
3,744,7000,38.57999251,-121.4930384
3,704,2604,38.59540732,-121.4978798
6,1421,5213,38.51526387,-121.4296507
2,212,2404,38.65737252,-121.4577585
6,1087,7000,38.52799185,-121.434789
3,776,7000,38.56796664,-121.4852542
4,1356,1315,38.50009398,-121.4776262
6,1058,7000,38.54138742,-121.4282497
4,1356,7000,38.49609085,-121.4740915
4,1203,2404,38.52973955,-121.5195294
5,1635,2404,38.46637324,-121.4265274
4,1253,2404,38.51538948,-121.5255605
3,728,1299,38.57905906,-121.4661967
1,419,7000,38.63036289,-121.4755269
6,1441,2203,38.50632179,-121.4333041
5,1616,5213,38.47400047,-121.4581933
3,762,5404,38.57724403,-121.5051437
3,738,5400,38.57419952,-121.470553
3,742,7000,38.57881567,-121.4970836
