zip,sq_ft,price,latitude,longitude
95838,836,59222,38.631913,-121.434879
95823,1167,68212,38.478902,-121.431028
95815,796,68880,38.618305,-121.443839
95815,852,69307,38.616835,-121.439146
95824,797,81900,38.51947,-121.435768
95841,1122,89921,38.662595,-121.327813
95842,1104,90895,38.681659,-121.351705
95820,1177,91002,38.535092,-121.481367
95670,941,94905,38.621188,-121.270555
95673,1146,98937,38.700909,-121.442979
95838,909,100309,38.637663,-121.45152
95823,1289,106250,38.470746,-121.458918
95815,871,106852,38.618698,-121.435833
95822,1020,107502,38.482215,-121.492603
95842,1022,108750,38.672914,-121.35934
95842,1134,110700,38.700051,-121.351278
95673,844,113263,38.689591,-121.452239
95621,795,116250,38.679776,-121.314089
95833,588,120000,38.612099,-121.469095
95673,1356,121630,38.689999,-121.46322
95621,1118,122000,38.707851,-121.320707
95823,1329,122682,38.468173,-121.444071
95660,1240,123000,38.702792,-121.38221
95834,1601,124100,38.628631,-121.488097
95660,901,125000,38.701499,-121.37622
95843,1088,126640,38.70974,-121.37377
95820,963,127281,38.537526,-121.478315
95832,1119,129000,38.476472,-121.501711
95827,1380,131200,38.558423,-121.327948
95828,1248,132000,38.472122,-121.404199
95758,1039,133000,38.423251,-121.444489
95660,1152,134555,38.691161,-121.37192
95827,1380,136500,38.566663,-121.332644
95626,1116,138750,38.713182,-121.411227
95758,1039,141000,38.423251,-121.444489
95823,1418,146250,38.48742,-121.462459
95660,1082,147308,38.658246,-121.375469
95823,1472,148750,38.479553,-121.463317
95828,1146,149593,38.49857,-121.420925
95825,760,150000,38.58514,-121.403736
95835,1304,152000,38.658812,-121.542345
95822,1207,154000,38.493955,-121.48966
95624,1056,156896,38.41653,-121.379653
95843,1043,161250,38.72027,-121.331555
95660,1587,161500,38.699251,-121.371414
95833,1120,164000,38.613765,-121.488694
95823,1580,165000,38.450543,-121.432538
95823,1955,166357,38.489405,-121.452811
95838,1656,166357,38.636748,-121.422159
95823,1477,168000,38.499954,-121.454469
95624,1188,170000,38.415518,-121.370527
95828,1590,173000,38.473814,-121.4
95823,1463,174250,38.477553,-121.419463
95828,1714,174313,38.474853,-121.406326
95823,1185,178480,38.465184,-121.434925
95632,1406,178760,38.287789,-121.294715
95842,1943,179580,38.665724,-121.358576
95826,1172,181000,38.547011,-121.366217
95608,1152,181872,38.662105,-121.313945
95823,1851,182587,38.4473,-121.435218
95843,1215,182716,38.714609,-121.347887
95632,1130,182750,38.260443,-121.297864
95662,1603,183200,38.664186,-121.217511
95632,1479,188741,38.251808,-121.302493
95823,1420,189000,38.459041,-121.424644
95826,1280,192067,38.560767,-121.377471
95758,1586,194000,38.422811,-121.423285
95843,1362,194818,38.711279,-121.393449
95828,2162,195000,38.48009,-121.415102
95823,1266,198000,38.44004,-121.421012
95624,1715,199500,38.44076,-121.385792
95630,1820,200000,38.687742,-121.17104
95608,936,200000,38.664468,-121.32683
95834,1511,208000,38.653439,-121.535169
95823,1590,212864,38.454349,-121.439239
95758,1596,221000,38.427818,-121.424026
95835,1341,221000,38.67307,-121.506373
95624,2136,223058,38.435436,-121.394536
95624,1616,227887,38.400676,-121.38101
95823,1478,231477,38.491399,-121.443547
95670,1287,234697,38.593699,-121.31089
95621,1277,235000,38.702855,-121.31308
95833,1448,236000,38.618457,-121.509439
95829,2235,236685,38.463355,-121.358936
95655,2093,237800,38.547991,-121.280483
95673,1193,240122,38.693818,-121.441153
95757,2163,242638,38.400974,-121.448424
95828,1269,244000,38.478198,-121.412911
95828,958,244960,38.502519,-121.420769
95624,2508,245918,38.443832,-121.382087
95621,1305,250000,38.665395,-121.293288
95758,1591,250000,38.444909,-121.412345
95608,1326,250134,38.637028,-121.312963
95757,1843,254200,38.38692,-121.447349
95841,1921,254200,38.653917,-121.34218
95758,2790,258000,38.42568,-121.438062
95835,1541,260000,38.656251,-121.547572
95820,1018,260014,38.53151,-121.421089
95834,1672,265000,38.648879,-121.544023
95726,1380,265000,38.708315,-120.603872
95822,975,271742,38.523947,-121.484946
95829,2372,273750,38.472976,-121.318633
95822,1446,275086,38.502194,-121.490795
95726,1284,280908,38.75485,-120.60476
95832,3009,280987,38.474099,-121.490711
95826,3612,282400,38.559505,-121.364839
95758,2056,285000,38.410992,-121.479043
95624,1993,287417,38.4439,-121.37255
95757,1857,291000,38.391538,-121.442596
95818,1126,292024,38.556098,-121.490787
95827,2213,297000,38.5703,-121.315735
95758,2494,297000,38.442031,-121.410873
95757,1843,298000,38.40154,-121.447649
95670,1520,299000,38.62869,-121.261669
95835,2800,304037,38.658182,-121.549521
95624,2309,311000,38.442352,-121.389675
95827,2367,315537,38.555993,-121.340352
95742,3516,320000,38.545128,-121.224922
95826,1914,328360,38.550848,-121.370224
95662,1690,334150,38.71147,-121.216214
95757,2725,335750,38.398609,-121.450148
95757,2354,335750,38.403492,-121.430224
95630,2185,344250,38.68479,-121.149199
95758,1801,346210,38.41333,-121.404999
95823,1961,347029,38.448507,-121.421346
95757,3134,347650,38.380635,-121.425538
95823,1915,351300,38.46534,-121.457519
95683,2734,370500,38.4874,-121.075129
95693,2110,372000,38.35062,-121.228349
95757,3164,375000,38.4019,-121.420388
95835,3599,381300,38.677126,-121.500519
95831,2054,381942,38.509819,-121.519661
95843,1830,387731,38.709873,-121.339472
95814,1627,391000,38.58355,-121.487289
95757,3440,394470,38.408351,-121.423925
95635,2846,395000,38.945357,-120.908822
95624,2359,400186,38.450829,-121.349928
95831,2052,415000,38.487885,-121.545947
95757,3433,425000,38.385638,-121.422616
95742,3615,430000,38.550617,-121.23526
95630,2687,460000,38.646273,-121.175322
95757,2724,461000,38.38253,-121.428007
95757,3440,489332,38.406421,-121.422081
95757,3508,510000,38.38253,-121.428038
95630,2462,539000,38.655167,-121.090178
95864,2325,660000,38.591618,-121.370626
95621,795,69000,38.680923,-121.313945
95817,1099,70000,38.554967,-121.468046
95624,840,71000,38.40573,-121.369832
95815,800,78000,38.624678,-121.439203
95824,746,78400,38.518044,-121.443555
95822,1067,80000,38.515125,-121.480416
95815,1316,89000,38.623571,-121.454884
95815,1337,90000,38.622953,-121.450142
95824,868,90000,38.518373,-121.411779
95824,924,92000,38.51055,-121.414768
95820,610,93675,38.53942,-121.446894
95815,1220,98000,38.621998,-121.442238
95758,722,98000,38.423251,-121.444489
95864,1643,99000,38.588672,-121.373916
95758,722,100000,38.423251,-121.444489
95632,1080,106716,38.241514,-121.312199
95820,1039,111000,38.52712,-121.435348
95660,1051,111000,38.67895,-121.379406
95842,967,114800,38.682279,-121.352817
95670,1098,120108,38.587156,-121.295778
95824,1050,123225,38.518942,-121.430158
95838,1110,123750,38.636565,-121.460383
95660,888,125000,38.650445,-121.374861
95822,1120,125000,38.514665,-121.480411
95626,1080,126000,38.717976,-121.407684
95660,957,129000,38.66654,-121.378298
95838,952,134000,38.637678,-121.452476
95838,1211,135000,38.658478,-121.450409
95815,1264,135500,38.61779,-121.436765
95833,1080,140000,38.623817,-121.477827
95632,1266,140000,38.270617,-121.299205
95628,994,142500,38.662785,-121.276272
95834,1202,143500,38.631056,-121.48508
95820,722,145000,38.532727,-121.470783
95828,1448,145000,38.488623,-121.410582
95828,1188,145000,38.488611,-121.412808
95660,1183,146000,38.692915,-121.367497
95822,1320,148500,38.487444,-121.491366
95828,1117,149000,38.473288,-121.3963
95828,1364,150000,38.482876,-121.405912
95823,1310,150000,38.484834,-121.449316
95758,1006,152000,38.420138,-121.412179
95621,1104,156000,38.693724,-121.307169
95825,810,156000,38.609982,-121.419263
95624,1123,156000,38.41875,-121.370019
95842,904,157788,38.67273,-121.359645
95621,1156,161653,38.720653,-121.302241
95820,1321,161829,38.541965,-121.452132
95843,1392,165000,38.715346,-121.388163
95823,1439,168000,38.448288,-121.420719
95842,1159,169000,38.69951,-121.359989
95670,1671,175000,38.591477,-121.31534
95823,1740,176250,38.457654,-121.431381
95823,1265,179000,38.461283,-121.434322
95843,1007,180000,38.710889,-121.358876
95758,1716,180400,38.417649,-121.420294
95758,1685,182000,38.417182,-121.397231
95670,1829,184500,38.592383,-121.318669
95758,1555,185000,38.435471,-121.441173
95608,1120,189000,38.666564,-121.325717
95621,1137,194000,38.718693,-121.303619
95826,1174,195000,38.543697,-121.366683
95843,1393,200000,38.704407,-121.36113
95828,1289,205000,38.461296,-121.390858
95838,1799,205000,38.655887,-121.446119
95823,1953,205000,38.443253,-121.431992
95820,723,207000,38.536741,-121.42115
95667,948,211500,38.739774,-120.860243
95621,1578,215000,38.696489,-121.328555
95610,1317,215000,38.710388,-121.261096
95824,1360,222381,38.513066,-121.451909
95833,1522,225000,38.624762,-121.522775
95825,1751,225000,38.606603,-121.394147
95624,1465,225000,38.419214,-121.348533
95826,1605,228000,38.55821,-121.355022
95673,1475,229665,38.702893,-121.454949
95722,1216,230000,39.008159,-121.03623
95628,1315,230000,38.665644,-121.259969
95757,1567,230000,38.390557,-121.449805
95835,1776,234000,38.672495,-121.515251
95835,2187,235000,38.661658,-121.540633
95822,1291,236250,38.534596,-121.493121
95842,1503,245000,38.699489,-121.361828
95828,2491,245000,38.459711,-121.384283
95816,1269,245000,38.562296,-121.467489
95662,1176,250000,38.669882,-121.213533
95662,1456,250000,38.692199,-121.250975
95678,1498,250000,38.725283,-121.297953
95843,1574,255000,38.710221,-121.341651
95610,2085,256054,38.682358,-121.272876
95829,2170,257729,38.45967,-121.360461
95758,1595,260000,38.409634,-121.410787
95843,1567,261000,38.705849,-121.334701
95822,1253,264469,38.482704,-121.500433
95843,1768,265000,38.717042,-121.35468
95835,2030,270000,38.671807,-121.498274
95835,1531,270000,38.665704,-121.529096
95624,1653,275000,38.435288,-121.375703
95758,2056,275000,38.411522,-121.481406
95624,2494,280000,38.404934,-121.352405
95628,1450,286013,38.660322,-121.230101
95834,2169,292000,38.633028,-121.526755
95747,1440,292000,38.752399,-121.330328
95628,1527,293993,38.664552,-121.255937
95678,1401,294000,38.776327,-121.284514
95838,1411,296769,38.65783,-121.456842
95673,1284,300000,38.700553,-121.452223
95632,2307,300000,38.272942,-121.289148
95667,1329,300000,38.694559,-120.848157
95835,1910,300500,38.677454,-121.494791
95670,1981,305000,38.628732,-121.261149
95823,2205,319789,38.447353,-121.434969
95648,1449,330000,38.849924,-121.275729
95630,1258,330000,38.667834,-121.168578
95757,2575,331000,38.387014,-121.440967
95820,539,334000,38.542727,-121.442449
95670,2208,336000,38.573488,-121.282809
95819,1108,339000,38.563805,-121.436395
95630,1595,339000,38.652002,-121.129504
95632,2159,345000,38.279581,-121.300828
95667,2295,350000,38.738141,-120.784145
95678,1838,356000,38.782094,-121.297133
95823,1900,361745,38.487409,-121.461413
95811,1718,361948,38.591822,-121.478644
95757,3389,370000,38.405224,-121.479275
95757,3260,385000,38.405527,-121.431746
95682,2016,399000,38.664225,-121.007173
95765,2607,402000,38.805749,-121.280931
95757,2724,406026,38.390465,-121.443479
95632,3746,420000,38.271646,-121.286848
95683,3192,425000,38.512602,-121.087233
95811,1247,445000,38.582604,-121.47576
95630,2581,450000,38.676306,-121.09954
95841,2068,460000,38.646374,-121.353658
95624,3992,460000,38.403609,-121.335541
95835,3397,465000,38.665696,-121.549437
95835,3881,471750,38.677225,-121.519687
95608,1598,484000,38.602754,-121.329326
95667,1929,485000,38.787877,-120.816676
95757,3070,495000,38.398488,-121.473424
95829,3984,572500,38.47643,-121.309243
95608,2222,582000,38.602461,-121.330979
95661,3838,613401,38.735373,-121.227072
95628,2846,680000,38.64167,-121.262099
95819,2484,699000,38.563244,-121.446876
95650,1624,839000,38.813337,-121.133348
95842,840,40000,38.673678,-121.357471
95825,484,48000,38.582279,-121.401482
95815,970,61500,38.620685,-121.460539
95817,623,62050,38.546798,-121.460038
95820,932,65000,38.532718,-121.46747
95838,796,65000,38.638797,-121.435049
95820,834,68000,38.539447,-121.450858
95820,834,68000,38.539447,-121.450858
95841,924,77000,38.658739,-121.333561
95842,795,82732,38.669104,-121.359008
95838,1250,84000,38.637337,-121.432835
95820,984,84675,38.53728,-121.463531
95828,1013,85000,38.497237,-121.424187
95822,1012,90000,38.484274,-121.488851
95826,795,90000,38.559144,-121.368387
95838,918,91000,38.630151,-121.442789
95838,1082,95000,38.637704,-121.453946
95842,964,97500,38.663282,-121.359631
95815,1404,100000,38.617718,-121.440089
95826,625,100000,38.544627,-121.35796
95621,888,101000,38.675893,-121.2963
95815,1120,102750,38.622243,-121.457863
95660,1331,112500,38.68972,-121.378399
95821,1014,113000,38.623738,-121.41305
95820,1448,114000,38.53361,-121.469308
95838,966,114000,38.659414,-121.45408
95823,779,114750,38.463929,-121.438667
95843,836,115000,38.71607,-121.364468
95678,1100,115000,38.732429,-121.288069
95832,1174,116100,38.470093,-121.468347
95660,1207,119250,38.656131,-121.377265
95828,1995,120000,38.490704,-121.410176
95820,804,120000,38.53105,-121.479574
95834,958,120000,38.647523,-121.523217
95823,1366,120108,38.470187,-121.448149
95823,901,121500,38.454949,-121.440578
95815,696,121725,38.613103,-121.444085
95632,1080,122000,38.24227,-121.31032
95822,1104,123000,38.50372,-121.490657
95825,972,125000,38.598321,-121.39161
95833,1390,125573,38.617173,-121.482541
95626,1354,126714,38.705834,-121.43919
95826,795,126960,38.557045,-121.37167
95678,780,127000,38.749723,-121.27008
95828,1587,127500,38.49069,-121.382619
95660,1209,130000,38.699269,-121.376334
95824,1139,133105,38.520941,-121.459355
95673,1690,136500,38.691104,-121.451832
95608,1245,139500,38.628563,-121.328297
95626,1416,140000,38.71865,-121.407763
95832,1300,140800,38.47807,-121.48114
95822,1120,145000,38.484896,-121.486948
95828,1590,147000,38.478502,-121.403517
95828,1407,149600,38.479083,-121.400702
95820,1516,150000,38.534508,-121.467907
95822,1646,150000,38.489759,-121.474754
95823,1676,155000,38.457157,-121.433065
95838,1370,155435,38.646677,-121.437573
95838,1370,155500,38.646677,-121.437573
95621,1351,158000,38.70166,-121.323249
95660,1152,158000,38.697898,-121.377687
95823,1452,160000,38.45356,-121.435959
95678,990,160000,38.734136,-121.299639
95621,1162,164000,38.720868,-121.309855
95673,1182,164000,38.687659,-121.4633
95758,1112,165000,38.42465,-121.430137
95632,1100,167000,38.283085,-121.302071
95621,1280,167293,38.715781,-121.298519
95621,1280,167293,38.715781,-121.298519
95820,1039,168000,38.52774,-121.433669
95842,1159,170000,38.695677,-121.36022
95833,1917,170000,38.620687,-121.482619
95827,1520,170000,38.564,-121.320023
95632,1204,174000,38.260467,-121.302636
95841,1120,178000,38.658734,-121.357196
95823,1436,180000,38.447585,-121.426627
95826,1451,180000,38.55992,-121.352539
95828,1638,180000,38.466499,-121.381119
95608,1000,182000,38.637396,-121.300055
95661,1152,188325,38.72748,-121.256537
95747,1154,191500,38.747878,-121.311279
95838,1353,192000,38.657811,-121.465327
95621,1329,192700,38.706152,-121.325399
95826,1356,195000,38.544368,-121.369979
95838,1505,197654,38.645689,-121.452766
95842,1009,198000,38.681541,-121.355616
95823,1144,200345,38.46452,-121.427606
95864,930,203000,38.581471,-121.38839
95841,1766,207000,38.687943,-121.328883
95828,1940,208000,38.468639,-121.403265
95758,1776,210000,38.413947,-121.408276
95621,1258,212000,38.698154,-121.298375
95828,1872,213675,38.460492,-121.373379
95758,1112,213697,38.423963,-121.428875
95833,1856,215000,38.619675,-121.496903
95816,1939,215000,38.573844,-121.462839
95678,998,215100,38.746794,-121.29971
95678,1758,217500,38.756149,-121.306479
95838,2142,218000,38.658466,-121.460661
95831,950,220000,38.48403,-121.507641
